t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784268000000,1145.000000,1502.800000,0.312489,-0.000359,0.000006,122.700000,1.364829,124.064829,18.479909
1784271600000,1137.400000,1484.500000,0.305170,-0.000154,0.000039,133.400000,1.598618,134.998618,7.546120
1784275200000,1128.800000,1470.300000,0.302534,-0.000275,0.000033,139.000000,1.957431,140.957431,1.587307
1784278800000,1154.400000,1535.700000,0.330301,-0.000213,0.000015,99.200000,2.226374,101.426374,41.118364
1784282400000,1171.000000,1562.800000,0.334586,0.000173,0.000019,88.700000,2.054252,90.754252,51.790487
1784286000000,1163.300000,1547.900000,0.330611,0.000881,-0.000022,95.900000,0.994472,96.894472,45.650266
1784289600000,1155.700000,1523.300000,0.318076,-0.000139,0.000005,112.900000,1.162368,114.062368,28.482371
1784293200000,1179.000000,1570.500000,0.332061,-0.000272,0.000006,89.000000,1.493448,90.493448,52.051290
1784296800000,1161.700000,1545.100000,0.330034,-0.000124,0.000006,97.100000,1.646859,98.746859,43.797880
1784300400000,1209.900000,1639.600000,0.355153,0.000756,-0.000018,50.800000,0.703242,51.503242,91.041497
1784304000000,1204.900000,1644.200000,0.364595,0.000292,-0.000004,41.200000,0.344907,41.544907,100.999831
1784307600000,1178.200000,1591.800000,0.351044,0.000228,-0.000037,66.900000,0.018008,66.918008,75.626730
1784311200000,1181.300000,1593.200000,0.348684,-0.000239,-0.000035,68.600000,0.243446,68.843446,73.701293
1784314800000,1162.000000,1541.100000,0.326248,-0.000223,-0.000031,101.400000,0.455161,101.855161,40.689577
1784318400000,1157.800000,1537.500000,0.327950,-0.000326,0.000006,100.800000,0.842179,101.642179,40.902560
1784322000000,1149.900000,1536.300000,0.336029,-0.000209,0.000009,94.100000,1.097277,95.197277,47.347461
1784325600000,1152.300000,1534.100000,0.331337,-0.000076,0.000006,98.700000,1.193864,99.893864,42.650874
1784329200000,1153.000000,1537.000000,0.333044,-0.000119,0.000019,96.500000,1.360217,97.860217,44.684522
1784332800000,1159.000000,1545.300000,0.333305,0.000006,0.000006,94.200000,1.362631,95.562631,46.982107
1784336400000,1159.800000,1542.500000,0.329971,0.000042,0.000060,97.800000,1.405349,99.205349,43.339389
1784340000000,1159.700000,1540.700000,0.328533,0.000101,0.000055,99.500000,1.373325,100.873325,41.671413
1784343600000,1161.800000,1542.700000,0.327853,0.000015,-0.000003,99.600000,1.350206,100.950206,41.594532
1784347200000,1161.300000,1540.900000,0.326875,0.000013,0.000006,100.900000,1.344981,102.244981,40.299758
1784350800000,1160.100000,1536.100000,0.324110,0.000006,0.000008,104.500000,1.350483,105.850483,36.694255
1784354400000,1157.900000,1534.700000,0.325417,0.000006,-0.000044,103.700000,1.274997,104.974997,37.569741
1784358000000,1159.300000,1535.700000,0.324679,-0.000047,-0.000075,104.100000,1.214913,105.314913,37.229826
1784361600000,1160.000000,1538.300000,0.326121,0.000006,-0.000001,102.200000,1.205603,103.405603,39.139136
1784365200000,1158.200000,1532.100000,0.322829,0.000006,0.000032,106.600000,1.248093,107.848093,34.696646
1784368800000,1159.300000,1534.000000,0.323212,0.000006,-0.000039,105.800000,1.181319,106.981319,35.563419
1784372400000,1158.100000,1534.200000,0.324756,0.000006,0.000006,104.400000,1.183670,105.583670,36.961069
1784376000000,1156.700000,1526.800000,0.319962,-0.000002,0.000006,110.400000,1.195604,111.595604,30.949134
1784379600000,1158.600000,1525.600000,0.316762,-0.000013,-0.000104,113.500000,1.050833,114.550833,27.993906
1784383200000,1155.200000,1517.600000,0.313712,0.000006,-0.000001,118.100000,1.042475,119.142475,23.402263
1784386800000,1149.000000,1519.300000,0.322280,-0.000040,-0.000055,110.200000,1.004672,111.204672,31.340067
1784390400000,1150.100000,1520.000000,0.321624,-0.000080,-0.000056,110.600000,1.011932,111.611932,30.932807
1784394000000,1146.600000,1516.900000,0.322955,-0.000055,-0.000028,110.200000,1.032572,111.232572,31.312166
1784397600000,1146.200000,1521.000000,0.326994,-0.000036,-0.000013,105.700000,1.053621,106.753621,35.791117
1784401200000,1147.000000,1524.600000,0.329207,-0.000010,0.000015,102.900000,1.087878,103.987878,38.556861
1784404800000,1148.000000,1525.200000,0.328571,0.000006,0.000064,103.300000,1.177678,104.477678,38.067061
1784408400000,1151.700000,1527.100000,0.325953,0.000006,0.000031,105.100000,1.217759,106.317759,36.226979
1784412000000,1149.800000,1521.000000,0.322839,0.000052,0.000006,109.300000,1.167095,110.467095,32.077643
1784415600000,1152.000000,1523.200000,0.322222,0.000018,-0.000023,109.300000,1.111133,110.411133,32.133605
1784419200000,1158.500000,1529.400000,0.320155,0.000015,0.000006,109.600000,1.103687,110.703687,31.841051
1784422800000,1159.800000,1530.700000,0.319797,0.000077,0.000066,109.600000,1.114818,110.714818,31.829921
1784426400000,1163.300000,1532.100000,0.317029,0.000069,0.000026,111.700000,1.073923,112.773923,29.770816
1784430000000,1165.000000,1536.200000,0.318627,0.000083,0.000021,109.300000,1.009723,110.309723,32.235015
1784433600000,1175.000000,1547.900000,0.317362,0.000021,0.000054,107.600000,1.068726,108.668726,33.876012
1784437200000,1173.300000,1545.000000,0.316799,0.000239,0.000181,108.800000,1.067038,109.867038,32.677701
1784440800000,1179.300000,1548.900000,0.313406,0.000006,0.000006,110.900000,1.069348,111.969348,30.575391
1784444400000,1184.500000,1551.200000,0.309582,0.000091,0.000034,113.800000,1.014016,114.814016,27.730723
1784448000000,1200.400000,1568.900000,0.306981,0.000104,0.000044,112.000000,0.958333,112.958333,29.586406
1784451600000,1189.200000,1553.600000,0.306424,0.000257,0.000221,116.100000,0.996380,117.096380,25.448358
1784455200000,1182.200000,1545.900000,0.307647,-0.000019,-0.000043,116.800000,0.952662,117.752662,24.792076
1784458800000,1178.500000,1537.800000,0.304879,-0.000152,-0.000184,121.200000,0.848304,122.048304,20.496434
1784462400000,1181.500000,1543.100000,0.306052,-0.000086,-0.000118,118.900000,0.767360,119.667360,22.877378
1784466000000,1187.300000,1547.300000,0.303209,0.000006,0.000006,120.500000,0.769610,121.269610,21.275128
1784469600000,1180.400000,1537.100000,0.302186,0.000129,0.000093,123.800000,0.759726,124.559726,17.985012
1784473200000,1179.500000,1539.100000,0.304875,-0.000061,-0.000097,120.900000,0.682688,121.582688,20.962051
1784476800000,1171.800000,1528.100000,0.304062,-0.000038,-0.000022,124.200000,0.694519,124.894519,17.650219
1784480400000,1182.500000,1535.800000,0.298774,-0.000146,-0.000154,127.200000,0.631449,127.831449,14.713290
1784484000000,1182.200000,1533.300000,0.296989,0.000135,0.000042,129.400000,0.536858,129.936858,12.607880
1784487600000,1188.000000,1540.400000,0.296633,0.000006,-0.000032,128.100000,0.480122,128.580122,13.964616
1784491200000,1187.500000,1547.800000,0.303411,0.000142,0.000139,120.200000,0.525537,120.725537,21.819201
1784494800000,1182.400000,1546.000000,0.307510,0.000006,0.000110,116.900000,0.688301,117.588301,24.956437
1784498400000,1215.300000,1574.900000,0.295894,0.000006,0.000045,120.900000,0.750822,121.650822,20.893916
1784502000000,1167.900000,1531.800000,0.311585,0.000112,0.000258,116.600000,1.015776,117.615776,24.928962
1784505600000,1228.300000,1568.700000,0.277131,0.000269,-0.000252,140.100000,0.289463,140.389463,2.155275
1784509200000,1196.000000,1546.400000,0.292977,0.000006,-0.000030,130.100000,0.235518,130.335518,12.209220
1784512800000,1205.500000,1559.900000,0.293986,0.000006,-0.000008,126.100000,0.214990,126.314990,16.229749
1784516400000,1208.000000,1573.200000,0.302318,0.000128,-0.000042,115.300000,-0.004903,115.295097,27.249641
1784520000000,1219.400000,1579.400000,0.295227,0.000123,-0.000055,120.500000,-0.241047,120.258953,22.285786
1784523600000,1202.400000,1564.400000,0.301065,0.000068,-0.000055,118.500000,-0.408767,118.091233,24.453505
1784527200000,1193.500000,1562.300000,0.309007,0.000092,-0.000048,111.700000,-0.593274,111.106726,31.438012
1784530800000,1203.000000,1579.900000,0.313300,-0.000057,-0.000059,103.600000,-0.618185,102.981815,39.562923
1784534400000,1213.600000,1591.100000,0.311058,0.000094,-0.000038,103.000000,-0.792884,102.207116,40.337622
1784538000000,1231.600000,1608.900000,0.306349,0.000027,-0.000021,103.200000,-0.860156,102.339844,40.204894
1784541600000,1238.400000,1614.900000,0.304021,-0.000060,-0.000033,104.000000,-0.839359,103.160641,39.384097
1784545200000,1243.100000,1631.400000,0.312364,-0.000097,-0.000037,92.200000,-0.778609,91.421391,51.123348
